=== sondes.csv ===
type,ms,lat,lon,depth,heading
I,0,38.53232193,-121.69281006,-0.9144,270.00
S,151464,38.53231812,-121.69283295,-0.9144,
S,476920,38.53231430,-121.69287109,-1.2192,
S,672336,38.53231812,-121.69288635,-1.5240,
S,713616,38.53231049,-121.69289398,-1.5240,
S,774741,38.53231812,-121.69290161,-1.5240,


=== ticks.csv ===
ms,steer,hammer,dt
666780,0.0403,-0.0203,-1.0006
667779,0.0408,-0.0192,-0.9999
668780,0.0388,-0.0185,-0.9987
684756,0.0466,-0.0215,-0.9991
685756,0.0420,-0.0219,-0.9998
686756,0.0399,-0.0235,-1.0003
687755,0.0356,-0.0214,-0.9995
688756,0.0342,-0.0196,-0.9995
689756,0.0414,-0.0191,-1.0003
690756,0.0466,-0.0201,-0.9980
691756,0.0387,-0.0222,-0.9991
706780,0.0571,-0.0239,-0.9995
707779,0.0421,-0.0220,-0.9983
708780,0.0392,-0.0222,-1.0007
709780,0.0383,-0.0194,-1.0000
710780,0.0483,-0.0205,-0.9977
711780,0.0428,-0.0190,-0.9991
712780,0.0435,-0.0199,-0.9974
728756,0.0355,-0.0224,-0.9966
729756,0.0379,-0.0222,-0.9997
730755,0.0403,-0.0202,-1.0009
731755,0.0449,-0.0197,-0.9981
732756,0.0438,-0.0190,-1.0004
733756,0.0427,-0.0206,-0.9985
734755,0.0446,-0.0241,-1.0000
735755,0.0402,-0.0226,-1.0001
750907,0.0454,-0.0220,-1.0015
751907,0.0404,-0.0205,-1.0001
752906,0.0460,-0.0226,-1.0005
753907,0.0435,-0.0199,-0.9996
754907,0.0353,-0.0195,-0.9981
755906,0.0425,-0.0224,-0.9982
756907,0.0372,-0.0230,-1.0003
772756,0.0412,-0.0223,-1.0017
773755,0.0446,-0.0208,-1.0001
774755,0.0507,-0.0203,-1.0010
775755,0.0423,-0.0203,-0.9961
776756,0.0425,-0.0204,-0.9979
777755,0.0394,-0.0216,-0.9979
778755,0.0405,-0.0229,-1.0002
779755,0.0497,-0.0248,-0.9999
794780,0.0596,-0.0264,-1.0029
795780,0.0392,-0.0244,-0.9997
796779,0.0404,-0.0218,-1.0011
797779,0.0424,-0.0186,-0.9995
798779,0.0527,-0.0220,-0.9971
799780,0.0356,-0.0222,-0.9985
800780,0.0444,-0.0231,-0.9990
816756,0.0405,-0.0212,-1.0010
817756,0.0447,-0.0237,-1.0005
818756,0.0373,-0.0206,-0.9992
819755,0.0424,-0.0199,-0.9987
820756,0.0409,-0.0223,-0.9971
821756,0.0306,-0.0211,-0.9987
822756,0.0428,-0.0227,-1.0001
823755,0.0380,-0.0236,-0.9980
838780,0.0562,-0.0229,-1.0063
839780,0.0415,-0.0192,-1.0011
840780,0.0402,-0.0190,-1.0016
841780,0.0444,-0.0203,-0.9994
842780,0.0356,-0.0208,-0.9957
843779,0.0371,-0.0226,-0.9982
844780,0.0358,-0.0218,-1.0006
860756,0.0401,-0.0228,-1.0005
861756,0.0454,-0.0223,-1.0034
862756,0.0432,-0.0198,-0.9990
863756,0.0424,-0.0197,-0.9987
864755,0.0475,-0.0215,-0.9984
865756,0.0404,-0.0228,-0.9984
866755,0.0401,-0.0240,-0.9999
867756,0.0400,-0.0231,-1.0002
882780,0.0298,-0.0239,-0.9976
883780,0.0345,-0.0208,-1.0008
884780,0.0453,-0.0195,-0.9993
885779,0.0402,-0.0213,-0.9980
886780,0.0385,-0.0219,-0.9984
887780,0.0411,-0.0214,-1.0000
888780,0.0391,-0.0236,-0.9989
896574,0.0369,-0.0197,-0.9995
897574,0.0425,-0.0207,-1.0001
898574,0.0469,-0.0202,-0.9994
899573,0.0410,-0.0189,-0.9977
900573,0.0444,-0.0201,-0.9964
901574,0.0418,-0.0219,-0.9975
902574,0.0413,-0.0239,-0.9992
903574,0.0389,-0.0214,-1.0000
904574,0.0430,-0.0218,-1.0022
905574,0.0446,-0.0208,-1.0002
906574,0.0460,-0.0199,-0.9992
907574,0.0451,-0.0223,-0.9981
908574,0.0419,-0.0236,-0.9985
909574,0.0403,-0.0231,-1.0001
910573,0.0400,-0.0217,-1.0007
911574,0.0375,-0.0197,-0.9983
912573,0.0486,-0.0208,-0.9993
913573,0.0461,-0.0201,-0.9996
914574,0.0413,-0.0215,-0.9984
915574,0.0403,-0.0228,-0.9995
916573,0.0414,-0.0229,-1.0012
917574,0.0422,-0.0220,-1.0003
918573,0.0423,-0.0204,-0.9986
919573,0.0462,-0.0203,-0.9971
920574,0.0506,-0.0198,-0.9976
921573,0.0417,-0.0194,-0.9991
922574,0.0425,-0.0228,-0.9989
923573,0.0360,-0.0232,-1.0003
924574,0.0302,-0.0216,-0.9988
925574,0.0427,-0.0215,-0.9996
926574,0.0368,-0.0197,-0.9997
927573,0.0460,-0.0207,-1.0007
928574,0.0460,-0.0194,-0.9970
929574,0.0385,-0.0225,-0.9973
930574,0.0451,-0.0222,-1.0002
931573,0.0432,-0.0231,-0.9994
931952,0.0407,-0.0194,-0.9992
932953,0.0436,-0.0227,-0.9980
933953,0.0393,-0.0233,-0.9998
934953,0.0431,-0.0231,-1.0006
935952,0.0408,-0.0234,-1.0020
936953,0.0393,-0.0207,-1.0006
937953,0.0468,-0.0190,-1.0001
938953,0.0449,-0.0208,-0.9970
954743,0.0367,-0.0185,-0.9986
955742,0.0374,-0.0236,-0.9981
956742,0.0384,-0.0231,-0.9999
957742,0.0369,-0.0233,-1.0016
958743,0.0419,-0.0205,-1.0010
959742,0.0453,-0.0200,-0.9990
960742,0.0431,-0.0188,-0.9981


=== relays.csv ===
ms,relayState,worldSteer,source
5756,0xF1,0x00,0
8756,0xF5,0x00,0
9756,0xFD,0x00,0
19058,0x8D,0x04,0
24756,0x85,0x04,0
25756,0x80,0x04,0
27756,0x82,0x04,0
27756,0x81,0x04,0
30756,0x85,0x04,0
31756,0x8D,0x04,0
46756,0x85,0x04,0
47756,0x80,0x04,0
49756,0x82,0x04,0
49756,0x81,0x04,0
52756,0x85,0x04,0
53756,0x8D,0x04,0
68756,0x85,0x04,0
69756,0x80,0x04,0
71756,0x82,0x04,0
71756,0x81,0x04,0
74756,0x85,0x04,0
75756,0x8D,0x04,0
90756,0x85,0x04,0
